>JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM
>YP_002385298|FEATURES|mdtN|multidrug|mdtN
>gi:585322871:ref:WP_024204537.1:|FEATURES|emrA|multidrug|emrA
>JQ002629.1.gene1.p01|FEATURES|IMP-32|beta-lactam|IMP
>NC_010558.1.6275948.p01|FEATURES|qepA|fluoroquinolone|qepA
>gi:488349287:ref:WP_002418672.1:|FEATURES|vanB|glycopeptide|vanB
>gi:446910356:ref:WP_000987612.1:|FEATURES|adeB|multidrug|adeB
>gi:695837578:ref:WP_032750955.1:|FEATURES|emrA|multidrug|emrA
>gi:651585284:ref:WP_026580461.1:|FEATURES|class_A|beta-lactam|class_A
>Q32DT3|FEATURES|arnA|polymyxin|arnA
>AJ312056.2.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase
>gi:585350004:ref:WP_024231618.1:|FEATURES|TolC|multidrug|TolC
>JE0138|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II
>gi:942448824:ref:WP_055314246.1:|FEATURES|mexH|multidrug|mexH
>YP_002937728|FEATURES|bacA|bacitracin|bacA
>gi:489200414:ref:WP_003109635.1:|FEATURES|tetR|tetracycline|tetR
>gi:560398734:ref:WP_023622078.1:|FEATURES|sdiA|unclassified|sdiA
>gi:507086744:ref:WP_016157485.1:|FEATURES|TolC|multidrug|TolC
>gi:724471628:gb:AIY26267.1:|FEATURES|TolC|multidrug|TolC
>gi:695732140:ref:WP_032658638.1:|FEATURES|sdiA|unclassified|sdiA
>gi:487382605:ref:WP_001654865.1:|FEATURES|mdtP|multidrug|mdtP
>YP_106067|FEATURES|mexE|multidrug|mexE
>gi:950562188:ref:WP_057431811.1:|FEATURES|mexF|multidrug|mexF
>DQ519088.1.gene1.p01|FEATURES|OXA-94|beta-lactam|OXA
>AAF24171|FEATURES|vatE|MLS|vatE
>gi:554685678:ref:WP_023185565.1:|FEATURES|macB|MLS|macB
>gi:1015890335:ref:WP_062865166.1:|FEATURES|macB|MLS|macB
>gi:447004719:ref:WP_001081975.1:|FEATURES|mdtE|multidrug|mdtE
>gi:656016562:ref:WP_029056449.1:|FEATURES|norA|multidrug|norA
>ZP_04273511|FEATURES|class_A|beta-lactam|class_A
>gi:730303878:ref:WP_033978962.1:|FEATURES|tetR|tetracycline|tetR
>gi:966358723:ref:WP_058407068.1:|FEATURES|class_C|beta-lactam|class_C
>gi:1031652761:gb:ANG23007.1:|FEATURES|TEM-1|beta-lactam|TEM
>gi:745761480:ref:WP_039060165.1:|FEATURES|TolC|multidrug|TolC
>CAI43343|FEATURES|chloramphenicol_exporter|phenicol|chloramphenicol_exporter
>AF099139.1.gene1.p01|FEATURES|IND-1|beta-lactam|IND
>gi:727197287:ref:WP_033658847.1:|FEATURES|class_A|beta-lactam|class_A
>gi:556479739:ref:WP_023331319.1:|FEATURES|TolC|multidrug|TolC
>gi:493872994:ref:WP_006819444.1:|FEATURES|mdtH|multidrug|mdtH
>gi:307606148:emb:CBI42519.1:|FEATURES|ykkC|multidrug|ykkC
>gi:920477870:ref:WP_052992011.1:|FEATURES|TolC|multidrug|TolC
>gi:896000765:ref:WP_049067803.1:|FEATURES|adeB|multidrug|adeB
>gi:487391485:ref:WP_001662771.1:|FEATURES|mdtF|multidrug|mdtF
>gi:60392649:sp:O54281.1:MECI_STASR|FEATURES|mecI|beta-lactam|mecI
>gi:896501912:ref:WP_049409560.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase
>gi:980509810:ref:WP_059358358.1:|FEATURES|TolC|multidrug|TolC
>gi:928821630:ref:WP_053882393.1:|FEATURES|mdtN|multidrug|mdtN
>P60865|FEATURES|fosB|fosfomycin|fosB
>NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA
>YP_001972437|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase
>gi:1012702223:ref:WP_062814406.1:|FEATURES|emrA|multidrug|emrA
>ABP68837|FEATURES|qnrB|fluoroquinolone|qnrB
